EICno,mzmed,rtmed,ACN_80_A1,ACN_80_A2,ACN_80_B1,ACN_80_B2,ACN_80_C1,ACN_80_C2,MeOH_80_A1,MeOH_80_A2,MeOH_80_B1,MeOH_80_B2,MeOH_80_C1,MeOH_80_C2
10957,472.0373451,857.265,537.085083,459.7514954,463.2319336,391.7615356,341.5625,594.2964478,1340.765137,762.9514771,442.4454651,637.2999878,930.960144,335.0040283
18324,685.3322892,857.3135,551.2683105,535.1011963,528.1817017,714.343811,374.8828125,503.4518433,400.2000122,256.0723572,294.6949463,269.2843628,333.9136047,588.6825562
13101,525.5794598,857.3225,231.3200684,256.2862854,241.760025,315.2438965,250.2164154,363.7928772,271,462.5068665,259.0004883,206.6113281,312.722229,269.4299927
15327,589.444243,857.3445,851.2283936,566.0681152,516.5562134,485.7466736,672.6694336,1096.173218,467.3886719,494.5328064,324.2251892,297.287323,350.1329651,373.0620728
9862,444.0764595,857.345,763.781189,677.6808472,1304.092407,668.2841797,840.9117432,1007.613159,1326.210083,1985.720093,763.9619141,996.418396,1793.694092,761.1676636
14945,576.4162467,857.378,838.3254395,997.2801514,1062.271484,1239.858398,1587.550415,1936.306885,793.5127563,837.9074097,650.289978,525.5800171,787.2520752,598.1570435
10041,447.5734501,857.3855,715.1245117,624.8175659,389.0059204,622.0666504,560.1091309,798.3605957,1195.496216,1124.204224,946.5444336,353.0689087,658.5402222,573.7399902
14182,554.4032909,857.386,842.5820923,1089.009155,1148.280151,937.0245972,1373.723145,1427.361206,855.663208,771.744812,678.0497437,454.4475403,804.6039429,600.3250122
9881,444.5764717,857.396,903.5435181,891.0067139,450.9522095,660.7299194,702.25,1067.449097,1344.329102,1381.040771,600.604187,584.7977295,1293.333496,652.0009766
16476,627.1097347,857.503,479.3912964,445.6352234,641.4518433,552.6420288,394.875,525.7801514,340.0357666,361.3063049,295.5816956,333.5048218,479.0993958,300.2136841
12045,501.2836998,857.72,1813.747681,1480.639038,1201.196533,1136.138794,1088.62915,1290.466431,1266.406372,850.2819824,880.5402832,555.3230591,778.0380859,817.5263062
4478,289.0697764,857.749,1958.160889,2490.842773,3088.78418,2758.05957,2695.03833,1406.411377,1825.422485,1835.774902,3607.166504,1678.831177,1653.791138,3052.018555
17524,660.1206897,857.77,442.6632996,478.6318359,557.3018799,657.0714111,559.1384277,973.6809082,649.9749756,557.3948364,462.6996155,364.0900879,769.2857056,594.0313721
21102,788.5452023,857.779,11569.65918,22351.89258,15950.39063,35633.125,50191.16797,53332.05078,8325.901367,13452.84473,6326.693359,7126.108887,21054.07031,7572.181641
13341,532.3910947,857.8985,1009.711487,1002.121887,864.522522,899.4765015,786.1456909,1574.224609,677.8480835,802.3151855,493.617218,654.1083984,918.7022705,472.5143127
22207,830.8555313,857.935,494.5235596,533.7762451,534.1489258,737.0655518,365.421051,443.718811,310.4489746,525.6355591,357.0900879,306.4496155,334.3515625,360.9009399
12412,510.3783197,857.939,884.2507324,762.8519287,871.765686,775.4821167,1360.937988,2023.668213,618.7109375,531.0333862,582.6404419,504.5596313,962.6622314,399.8450012
20363,758.5474357,857.94,3522.335693,5805.986328,6299.172363,6293.720215,6508.101563,9769.180664,1189.768188,2521.741211,1319.807007,2271.510498,4063.537354,2571.437744
22277,833.8553915,857.94,728.2996826,496.4438477,605.9263916,555.0178833,666.1619873,640.1210938,577.7581177,396.1402588,406.7472839,353.5297852,474.1212463,313.0132446
11102,476.1459896,858.0015,801.6337891,1077.082642,953.4807739,1125.213379,1058.168945,1284.151123,410,544.0368042,530.8580933,578.453186,876.4209595,408.4979858
12868,521.1909937,858.0655,4911.841797,4472.665527,5989.816406,9000.061523,6060.795898,12637.00977,2641.425781,3212.33252,2636.762207,2009.733765,5012.083008,2488.577637
14194,554.9040338,858.078,506.7638855,723.2042847,629.0150757,671.3253174,495.8771973,1529.242554,662.3728027,895.9345703,410.5593262,526.6153564,344.1000977,378.6582642
22419,840.574457,858.1215,5449.871582,7279.902832,6505.301758,8492.560547,9481.1875,13766.99414,1668.875488,5561.929688,4380.54834,5096.770508,7556.901855,4039.034424
22253,832.8560693,858.1615,1010.728516,950.1245728,975.0213013,756.0014648,689.5542603,665.8032837,416.8596497,1026.01416,1008.211853,481.0818481,841.6347656,469.5561523
16453,626.1114478,858.1915,471.1953125,443.3143921,536.8185425,922.7224731,747.0393066,1261.404785,533.5796509,354.1856689,387.1216431,462.2163086,730.375,336
12761,519.1923625,858.203,14131.96191,16359.06738,19523.17188,24418.41602,20854.6543,39040.14063,6945.327637,9247.495117,7492.335938,6913.23584,13394.27148,8001.89209
19167,714.506854,858.205,1808.582642,2107.813965,3433.14917,3481.831055,2985.899902,4322.179199,1136.332031,2301.562744,1609.036743,2131.875488,2767.938232,2205.101563
12074,502.2853576,858.2105,1610.054932,1593.684937,1657.49585,1550.208496,1278.41748,1311.391846,1264.348022,1108.82666,1098.30188,840.1114502,805.2576294,840.2306519
11024,474.1517392,858.281,2357.775391,2012.348389,2871.750244,3800.361084,3915.542725,6394.688477,1075.75,1401.470825,1386.804688,1080.49353,2313.761963,1526.520752
10995,473.150885,858.289,4835.617188,4654.529785,6557.98584,7667.625488,6069.409668,12543.13281,2824.339844,3015.453369,2701.385742,2012.115723,4205.84082,2639.083008
16427,625.1126584,858.294,996.9780273,1023.742981,1248.349731,1913.724243,1573.604248,1813.841309,764.2241821,819.6652832,726.5311279,774.197937,902.0281372,637.053833
12804,520.1933358,858.301,7602.995117,7127.427246,10135,11779.47559,9784.163086,18774.16602,3368.400391,4245.911621,3565.902832,3715.743164,6479.916504,4029.901123
6978,367.3357555,858.31,14849.59473,16905.63477,17437.03906,15379.35449,13659.80078,19034.31055,12419.63086,15997.75684,10876.68359,7842.891602,11485.3877,8573.365234
19298,720.1855982,858.3255,2207.014648,1376.367798,1072.710327,944.5570068,769.6596069,2034.610962,777.1870117,1149.955078,578.6749878,376.5877686,652.9117432,528.6199951
22268,833.3557115,858.329,768.6541138,718.3587646,965.4864502,585.4967041,410.1479492,784.2717285,644.111084,553.913147,506.7872009,308.5383606,588.9215088,431.6278992
